,Text,Date
156,"RT @IchiXIV: And who was it that accused feminism supports porn (and to some extend, incest). 😤",2023-05-07 05:55:59+00:00
157,@blueslighting05 As if Hande fans were better! They know feminism and respect ONLY when it comes to one woman. The… https://t.co/WDOB5dsV9j,2023-05-07 05:55:55+00:00
158,When women debate on feminism they forget equality and demand superiority.,2023-05-07 05:55:44+00:00
159,"RT @its_daqueen: Well, that's to tell you that feminism is just common sense and none of these roles are ""natural"" and ""God made"". They are…",2023-05-07 05:55:41+00:00
160,RT @ViktorM82361299: HEATED DEBATE: Is FEMINISM A Man Hating Ideology? https://t.co/8lH2A5yUGW via @YouTube,2023-05-07 05:55:39+00:00
161,HEATED DEBATE: Is FEMINISM A Man Hating Ideology? https://t.co/8lH2A5yUGW via @YouTube,2023-05-07 05:55:37+00:00
162,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 05:55:15+00:00
163,I’m gonna quote the man by Taylor for my final about feminism,2023-05-07 05:55:00+00:00
164,"@iamsaqib Feminism can be destructive and extreme as well. At times, it aims to discredit men, making them irreleva… https://t.co/1NDGvbm1H4",2023-05-07 05:54:25+00:00
165,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 05:54:25+00:00
166,"RT @its_daqueen: When you actually deep it feminism really is the default setting. Like it's literally common sense, so much so that even b…",2023-05-07 05:54:18+00:00
167,RT @tayspetsch: feminism leaving my body the moment i listen to better than revenge (taylor’s version) https://t.co/V6fHlReVHp,2023-05-07 05:54:06+00:00
168,RT @tayspetsch: feminism leaving my body the moment i listen to better than revenge (taylor’s version) https://t.co/V6fHlReVHp,2023-05-07 05:53:50+00:00
169,RT @tayspetsch: feminism leaving my body the moment i listen to better than revenge (taylor’s version) https://t.co/V6fHlReVHp,2023-05-07 05:53:49+00:00
170,"Feminism at it's Best. Watch #SaasBahuAurFlamingo on @DisneyPlusHS 

What an mesmerizing performance by Dimple Kapadia . It's a must binge",2023-05-07 05:53:00+00:00
171,"RT @itsmeparas16: @leojude11 @KirenRijiju @PMOIndia @AmitShah @BJP4India dekhte haine na survey ka result, #Feminism ke naam pe #Vote lene…",2023-05-07 05:52:36+00:00
172,"@AbsurdlyBlacque @_BarringtonII Not sure I understand ur meaning of “Youtube” feminism. Firstly, Arundhati Roy is s… https://t.co/HXL960euQq",2023-05-07 05:52:25+00:00
173,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 05:52:25+00:00
174,RT @chakravartiin: If you are such a great proponent of feminism start at home resign your posts as PMs &amp; CMs of country as MPs &amp; MLAs and…,2023-05-07 05:52:17+00:00
175,has anyone coined the term corset feminism yet?,2023-05-07 05:52:13+00:00
176,RT @Too_mishe: Scenes when you realize that feminism is just common sense and the reason why these girls reason in such lines is because th…,2023-05-07 05:52:13+00:00
177,@ow_hashtag Not enough Feminism at work let her step on you too 🗣️🗣️,2023-05-07 05:51:38+00:00
178,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 05:51:28+00:00
179,RT @QuetzaTheQueer: I just want to say thanks to the people who sat my ass down &amp; put me in my place on my lack of understanding of Feminis…,2023-05-07 05:51:17+00:00
180,"RT @its_daqueen: When you actually deep it feminism really is the default setting. Like it's literally common sense, so much so that even b…",2023-05-07 05:51:04+00:00
181,"RT @its_daqueen: When you actually deep it feminism really is the default setting. Like it's literally common sense, so much so that even b…",2023-05-07 05:51:04+00:00
182,"@NaveedQazi Reminds me of the phrase  ""more loyal than the king"" , actually the men who sombrely chastise men in th… https://t.co/DJKwExbvFF",2023-05-07 05:50:53+00:00
183,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 05:50:42+00:00
184,@Wojciehowicz you betray your lack of knowledge of Feminism and your lack of knowledge of Patriarchal systems. Bett… https://t.co/CMEIXIivgb,2023-05-07 05:50:39+00:00
185,"Feminism in a nutshell. All lip service, no accountability https://t.co/dwKf6FZbrs",2023-05-07 05:50:35+00:00
186,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 05:50:28+00:00
187,"RT @FamilyMan_berl_: How to smash patriarchy 101

#Feminism https://t.co/4rBEEKntX0",2023-05-07 05:50:02+00:00
188,"This is not the feminism you think it is, at your grown age why are you acting so ignorant",2023-05-07 05:49:45+00:00
189,@Bornakang With growing #Feminism  women are becoming careless nowdays,2023-05-07 05:49:22+00:00
190,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 05:48:43+00:00
